"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
15 May 2024 16:23:03.485,30.000,0.0000,30.000,187.0667,0.0000,0.0000,0.0000,0.0000,187.0667,290.571111,14.500291,-157.067,-112.383627,0.000,0.000,0.000,0.000,20.00000000,91.532467,32000.000000,1.0000,16.4810,19.4913,1.000000e-30
15 May 2024 16:23:04.000,30.000,0.0000,30.000,187.0594,0.0000,0.0000,0.0000,0.0000,187.0594,290.568771,14.500291,-157.059,-112.376380,0.000,0.000,0.000,0.000,20.00000000,91.539714,32000.000000,1.0000,16.4882,19.4985,1.000000e-30
15 May 2024 16:23:05.000,30.000,0.0000,30.000,187.0453,0.0000,0.0000,0.0000,0.0000,187.0453,290.564012,14.500291,-157.045,-112.362289,0.000,0.000,0.000,0.000,20.00000000,91.553805,32000.000000,1.0000,16.5023,19.5126,1.000000e-30
15 May 2024 16:23:06.000,30.000,0.0000,30.000,187.0312,0.0000,0.0000,0.0000,0.0000,187.0312,290.558967,14.500291,-157.031,-112.348175,0.000,0.000,0.000,0.000,20.00000000,91.567919,32000.000000,1.0000,16.5164,19.5267,1.000000e-30
15 May 2024 16:23:07.000,30.000,0.0000,30.000,187.0171,0.0000,0.0000,0.0000,0.0000,187.0171,290.553634,14.500291,-157.017,-112.334038,0.000,0.000,0.000,0.000,20.00000000,91.582056,32000.000000,1.0000,16.5306,19.5409,1.000000e-30
15 May 2024 16:23:08.000,30.000,0.0000,30.000,187.0029,0.0000,0.0000,0.0000,0.0000,187.0029,290.548014,14.500291,-157.003,-112.319879,0.000,0.000,0.000,0.000,20.00000000,91.596215,32000.000000,1.0000,16.5447,19.5550,1.000000e-30
15 May 2024 16:23:09.000,30.000,0.0000,30.000,186.9887,0.0000,0.0000,0.0000,0.0000,186.9887,290.542104,14.500291,-156.989,-112.305696,0.000,0.000,0.000,0.000,20.00000000,91.610398,32000.000000,1.0000,16.5589,19.5692,1.000000e-30
15 May 2024 16:23:10.000,30.000,0.0000,30.000,186.9745,0.0000,0.0000,0.0000,0.0000,186.9745,290.535902,14.500291,-156.975,-112.291491,0.000,0.000,0.000,0.000,20.00000000,91.624603,32000.000000,1.0000,16.5731,19.5834,1.000000e-30
15 May 2024 16:23:11.000,30.000,0.0000,30.000,186.9603,0.0000,0.0000,0.0000,0.0000,186.9603,290.529407,14.500291,-156.960,-112.277263,0.000,0.000,0.000,0.000,20.00000000,91.638831,32000.000000,1.0000,16.5873,19.5976,1.000000e-30
15 May 2024 16:23:12.000,30.000,0.0000,30.000,186.9461,0.0000,0.0000,0.0000,0.0000,186.9461,290.522619,14.500291,-156.946,-112.263012,0.000,0.000,0.000,0.000,20.00000000,91.653082,32000.000000,1.0000,16.6016,19.6119,1.000000e-30
15 May 2024 16:23:13.000,30.000,0.0000,30.000,186.9318,0.0000,0.0000,0.0000,0.0000,186.9318,290.515534,14.500291,-156.932,-112.248737,0.000,0.000,0.000,0.000,20.00000000,91.667357,32000.000000,1.0000,16.6159,19.6262,1.000000e-30
15 May 2024 16:23:14.000,30.000,0.0000,30.000,186.9175,0.0000,0.0000,0.0000,0.0000,186.9175,290.508152,14.500291,-156.917,-112.234440,0.000,0.000,0.000,0.000,20.00000000,91.681654,32000.000000,1.0000,16.6302,19.6405,1.000000e-30
15 May 2024 16:23:15.000,30.000,0.0000,30.000,186.9032,0.0000,0.0000,0.0000,0.0000,186.9032,290.500471,14.500291,-156.903,-112.220119,0.000,0.000,0.000,0.000,20.00000000,91.695975,32000.000000,1.0000,16.6445,19.6548,1.000000e-30
