"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
15 May 2024 16:38:35.468,30.000,0.0000,30.000,187.5134,0.0000,0.0000,0.0000,0.0000,187.5134,285.151916,14.500285,-157.513,-112.830369,0.000,0.000,0.000,0.000,20.00000000,91.085725,32000.000000,1.0000,16.0342,19.0445,1.000000e-30
15 May 2024 16:38:36.000,30.000,0.0000,30.000,187.5064,0.0000,0.0000,0.0000,0.0000,187.5064,285.151173,14.500285,-157.506,-112.823386,0.000,0.000,0.000,0.000,20.00000000,91.092708,32000.000000,1.0000,16.0412,19.0515,1.000000e-30
15 May 2024 16:38:37.000,30.000,0.0000,30.000,187.4933,0.0000,0.0000,0.0000,0.0000,187.4933,285.149583,14.500285,-157.493,-112.810252,0.000,0.000,0.000,0.000,20.00000000,91.105842,32000.000000,1.0000,16.0543,19.0646,1.000000e-30
15 May 2024 16:38:38.000,30.000,0.0000,30.000,187.4801,0.0000,0.0000,0.0000,0.0000,187.4801,285.147741,14.500285,-157.480,-112.797099,0.000,0.000,0.000,0.000,20.00000000,91.118995,32000.000000,1.0000,16.0675,19.0778,1.000000e-30
15 May 2024 16:38:39.000,30.000,0.0000,30.000,187.4670,0.0000,0.0000,0.0000,0.0000,187.4670,285.145646,14.500285,-157.467,-112.783926,0.000,0.000,0.000,0.000,20.00000000,91.132169,32000.000000,1.0000,16.0807,19.0910,1.000000e-30
15 May 2024 16:38:40.000,30.000,0.0000,30.000,187.4538,0.0000,0.0000,0.0000,0.0000,187.4538,285.143295,14.500285,-157.454,-112.770732,0.000,0.000,0.000,0.000,20.00000000,91.145362,32000.000000,1.0000,16.0939,19.1042,1.000000e-30
15 May 2024 16:38:41.000,30.000,0.0000,30.000,187.4406,0.0000,0.0000,0.0000,0.0000,187.4406,285.140689,14.500285,-157.441,-112.757519,0.000,0.000,0.000,0.000,20.00000000,91.158575,32000.000000,1.0000,16.1071,19.1174,1.000000e-30
15 May 2024 16:38:42.000,30.000,0.0000,30.000,187.4273,0.0000,0.0000,0.0000,0.0000,187.4273,285.137825,14.500285,-157.427,-112.744286,0.000,0.000,0.000,0.000,20.00000000,91.171808,32000.000000,1.0000,16.1203,19.1306,1.000000e-30
15 May 2024 16:38:43.000,30.000,0.0000,30.000,187.4141,0.0000,0.0000,0.0000,0.0000,187.4141,285.134702,14.500285,-157.414,-112.731032,0.000,0.000,0.000,0.000,20.00000000,91.185062,32000.000000,1.0000,16.1336,19.1439,1.000000e-30
15 May 2024 16:38:44.000,30.000,0.0000,30.000,187.4008,0.0000,0.0000,0.0000,0.0000,187.4008,285.131320,14.500285,-157.401,-112.717759,0.000,0.000,0.000,0.000,20.00000000,91.198335,32000.000000,1.0000,16.1468,19.1571,1.000000e-30
15 May 2024 16:38:45.000,30.000,0.0000,30.000,187.3875,0.0000,0.0000,0.0000,0.0000,187.3875,285.127677,14.500285,-157.388,-112.704465,0.000,0.000,0.000,0.000,20.00000000,91.211629,32000.000000,1.0000,16.1601,19.1704,1.000000e-30
15 May 2024 16:38:46.000,30.000,0.0000,30.000,187.3742,0.0000,0.0000,0.0000,0.0000,187.3742,285.123772,14.500285,-157.374,-112.691152,0.000,0.000,0.000,0.000,20.00000000,91.224943,32000.000000,1.0000,16.1734,19.1837,1.000000e-30
15 May 2024 16:38:47.000,30.000,0.0000,30.000,187.3609,0.0000,0.0000,0.0000,0.0000,187.3609,285.119603,14.500285,-157.361,-112.677818,0.000,0.000,0.000,0.000,20.00000000,91.238277,32000.000000,1.0000,16.1868,19.1971,1.000000e-30
15 May 2024 16:38:48.000,30.000,0.0000,30.000,187.3475,0.0000,0.0000,0.0000,0.0000,187.3475,285.115170,14.500285,-157.348,-112.664463,0.000,0.000,0.000,0.000,20.00000000,91.251631,32000.000000,1.0000,16.2001,19.2104,1.000000e-30
15 May 2024 16:38:49.000,30.000,0.0000,30.000,187.3341,0.0000,0.0000,0.0000,0.0000,187.3341,285.110471,14.500285,-157.334,-112.651089,0.000,0.000,0.000,0.000,20.00000000,91.265006,32000.000000,1.0000,16.2135,19.2238,1.000000e-30
15 May 2024 16:38:50.000,30.000,0.0000,30.000,187.3207,0.0000,0.0000,0.0000,0.0000,187.3207,285.105505,14.500285,-157.321,-112.637694,0.000,0.000,0.000,0.000,20.00000000,91.278401,32000.000000,1.0000,16.2269,19.2372,1.000000e-30
15 May 2024 16:38:51.000,30.000,0.0000,30.000,187.3073,0.0000,0.0000,0.0000,0.0000,187.3073,285.100271,14.500285,-157.307,-112.624278,0.000,0.000,0.000,0.000,20.00000000,91.291816,32000.000000,1.0000,16.2403,19.2506,1.000000e-30
15 May 2024 16:38:52.000,30.000,0.0000,30.000,187.2939,0.0000,0.0000,0.0000,0.0000,187.2939,285.094767,14.500285,-157.294,-112.610842,0.000,0.000,0.000,0.000,20.00000000,91.305252,32000.000000,1.0000,16.2538,19.2641,1.000000e-30
15 May 2024 16:38:53.000,30.000,0.0000,30.000,187.2804,0.0000,0.0000,0.0000,0.0000,187.2804,285.088992,14.500285,-157.280,-112.597386,0.000,0.000,0.000,0.000,20.00000000,91.318709,32000.000000,1.0000,16.2672,19.2775,1.000000e-30
15 May 2024 16:38:54.000,30.000,0.0000,30.000,187.2670,0.0000,0.0000,0.0000,0.0000,187.2670,285.082945,14.500285,-157.267,-112.583908,0.000,0.000,0.000,0.000,20.00000000,91.332186,32000.000000,1.0000,16.2807,19.2910,1.000000e-30
15 May 2024 16:38:55.000,30.000,0.0000,30.000,187.2535,0.0000,0.0000,0.0000,0.0000,187.2535,285.076625,14.500285,-157.253,-112.570411,0.000,0.000,0.000,0.000,20.00000000,91.345684,32000.000000,1.0000,16.2942,19.3045,1.000000e-30
15 May 2024 16:38:56.000,30.000,0.0000,30.000,187.2399,0.0000,0.0000,0.0000,0.0000,187.2399,285.070029,14.500285,-157.240,-112.556892,0.000,0.000,0.000,0.000,20.00000000,91.359202,32000.000000,1.0000,16.3077,19.3180,1.000000e-30
15 May 2024 16:38:57.000,30.000,0.0000,30.000,187.2264,0.0000,0.0000,0.0000,0.0000,187.2264,285.063158,14.500285,-157.226,-112.543353,0.000,0.000,0.000,0.000,20.00000000,91.372742,32000.000000,1.0000,16.3212,19.3315,1.000000e-30
15 May 2024 16:38:58.000,30.000,0.0000,30.000,187.2128,0.0000,0.0000,0.0000,0.0000,187.2128,285.056008,14.500285,-157.213,-112.529793,0.000,0.000,0.000,0.000,20.00000000,91.386302,32000.000000,1.0000,16.3348,19.3451,1.000000e-30
15 May 2024 16:38:59.000,30.000,0.0000,30.000,187.1993,0.0000,0.0000,0.0000,0.0000,187.1993,285.048581,14.500285,-157.199,-112.516212,0.000,0.000,0.000,0.000,20.00000000,91.399883,32000.000000,1.0000,16.3484,19.3587,1.000000e-30
15 May 2024 16:39:00.000,30.000,0.0000,30.000,187.1857,0.0000,0.0000,0.0000,0.0000,187.1857,285.040873,14.500285,-157.186,-112.502610,0.000,0.000,0.000,0.000,20.00000000,91.413484,32000.000000,1.0000,16.3620,19.3723,1.000000e-30
15 May 2024 16:39:01.000,30.000,0.0000,30.000,187.1720,0.0000,0.0000,0.0000,0.0000,187.1720,285.032883,14.500285,-157.172,-112.488987,0.000,0.000,0.000,0.000,20.00000000,91.427107,32000.000000,1.0000,16.3756,19.3859,1.000000e-30
15 May 2024 16:39:02.000,30.000,0.0000,30.000,187.1584,0.0000,0.0000,0.0000,0.0000,187.1584,285.024610,14.500285,-157.158,-112.475343,0.000,0.000,0.000,0.000,20.00000000,91.440751,32000.000000,1.0000,16.3893,19.3996,1.000000e-30
15 May 2024 16:39:03.000,30.000,0.0000,30.000,187.1447,0.0000,0.0000,0.0000,0.0000,187.1447,285.016054,14.500285,-157.145,-112.461678,0.000,0.000,0.000,0.000,20.00000000,91.454416,32000.000000,1.0000,16.4029,19.4132,1.000000e-30
15 May 2024 16:39:04.000,30.000,0.0000,30.000,187.1310,0.0000,0.0000,0.0000,0.0000,187.1310,285.007211,14.500285,-157.131,-112.447992,0.000,0.000,0.000,0.000,20.00000000,91.468102,32000.000000,1.0000,16.4166,19.4269,1.000000e-30
15 May 2024 16:39:05.000,30.000,0.0000,30.000,187.1173,0.0000,0.0000,0.0000,0.0000,187.1173,284.998081,14.500285,-157.117,-112.434285,0.000,0.000,0.000,0.000,20.00000000,91.481809,32000.000000,1.0000,16.4303,19.4406,1.000000e-30
15 May 2024 16:39:06.000,30.000,0.0000,30.000,187.1036,0.0000,0.0000,0.0000,0.0000,187.1036,284.988663,14.500285,-157.104,-112.420557,0.000,0.000,0.000,0.000,20.00000000,91.495537,32000.000000,1.0000,16.4440,19.4543,1.000000e-30
15 May 2024 16:39:07.000,30.000,0.0000,30.000,187.0899,0.0000,0.0000,0.0000,0.0000,187.0899,284.978955,14.500285,-157.090,-112.406807,0.000,0.000,0.000,0.000,20.00000000,91.509287,32000.000000,1.0000,16.4578,19.4681,1.000000e-30
