"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
15 May 2024 16:54:18.609,30.000,0.0000,30.000,187.9240,0.0000,0.0000,0.0000,0.0000,187.9240,279.209588,14.500279,-157.924,-113.240950,0.000,0.000,0.000,0.000,20.00000000,90.675144,32000.000000,1.0000,15.6236,18.6339,1.000000e-30
15 May 2024 16:54:19.000,30.000,0.0000,30.000,187.9192,0.0000,0.0000,0.0000,0.0000,187.9192,279.209332,14.500279,-157.919,-113.236156,0.000,0.000,0.000,0.000,20.00000000,90.679938,32000.000000,1.0000,15.6284,18.6387,1.000000e-30
15 May 2024 16:54:20.000,30.000,0.0000,30.000,187.9069,0.0000,0.0000,0.0000,0.0000,187.9069,279.208515,14.500279,-157.907,-113.223894,0.000,0.000,0.000,0.000,20.00000000,90.692200,32000.000000,1.0000,15.6407,18.6510,1.000000e-30
15 May 2024 16:54:21.000,30.000,0.0000,30.000,187.8947,0.0000,0.0000,0.0000,0.0000,187.8947,279.207466,14.500279,-157.895,-113.211615,0.000,0.000,0.000,0.000,20.00000000,90.704479,32000.000000,1.0000,15.6530,18.6633,1.000000e-30
15 May 2024 16:54:22.000,30.000,0.0000,30.000,187.8824,0.0000,0.0000,0.0000,0.0000,187.8824,279.206183,14.500279,-157.882,-113.199318,0.000,0.000,0.000,0.000,20.00000000,90.716776,32000.000000,1.0000,15.6653,18.6756,1.000000e-30
15 May 2024 16:54:23.000,30.000,0.0000,30.000,187.8700,0.0000,0.0000,0.0000,0.0000,187.8700,279.204665,14.500279,-157.870,-113.187004,0.000,0.000,0.000,0.000,20.00000000,90.729090,32000.000000,1.0000,15.6776,18.6879,1.000000e-30
15 May 2024 16:54:24.000,30.000,0.0000,30.000,187.8577,0.0000,0.0000,0.0000,0.0000,187.8577,279.202911,14.500279,-157.858,-113.174672,0.000,0.000,0.000,0.000,20.00000000,90.741422,32000.000000,1.0000,15.6899,18.7002,1.000000e-30
15 May 2024 16:54:25.000,30.000,0.0000,30.000,187.8454,0.0000,0.0000,0.0000,0.0000,187.8454,279.200921,14.500279,-157.845,-113.162323,0.000,0.000,0.000,0.000,20.00000000,90.753771,32000.000000,1.0000,15.7023,18.7126,1.000000e-30
15 May 2024 16:54:26.000,30.000,0.0000,30.000,187.8330,0.0000,0.0000,0.0000,0.0000,187.8330,279.198693,14.500279,-157.833,-113.149957,0.000,0.000,0.000,0.000,20.00000000,90.766137,32000.000000,1.0000,15.7146,18.7249,1.000000e-30
15 May 2024 16:54:27.000,30.000,0.0000,30.000,187.8206,0.0000,0.0000,0.0000,0.0000,187.8206,279.196226,14.500279,-157.821,-113.137573,0.000,0.000,0.000,0.000,20.00000000,90.778521,32000.000000,1.0000,15.7270,18.7373,1.000000e-30
15 May 2024 16:54:28.000,30.000,0.0000,30.000,187.8082,0.0000,0.0000,0.0000,0.0000,187.8082,279.193519,14.500279,-157.808,-113.125171,0.000,0.000,0.000,0.000,20.00000000,90.790923,32000.000000,1.0000,15.7394,18.7497,1.000000e-30
15 May 2024 16:54:29.000,30.000,0.0000,30.000,187.7958,0.0000,0.0000,0.0000,0.0000,187.7958,279.190572,14.500279,-157.796,-113.112752,0.000,0.000,0.000,0.000,20.00000000,90.803342,32000.000000,1.0000,15.7518,18.7621,1.000000e-30
15 May 2024 16:54:30.000,30.000,0.0000,30.000,187.7834,0.0000,0.0000,0.0000,0.0000,187.7834,279.187382,14.500279,-157.783,-113.100315,0.000,0.000,0.000,0.000,20.00000000,90.815779,32000.000000,1.0000,15.7643,18.7746,1.000000e-30
15 May 2024 16:54:31.000,30.000,0.0000,30.000,187.7709,0.0000,0.0000,0.0000,0.0000,187.7709,279.183950,14.500279,-157.771,-113.087861,0.000,0.000,0.000,0.000,20.00000000,90.828233,32000.000000,1.0000,15.7767,18.7870,1.000000e-30
15 May 2024 16:54:32.000,30.000,0.0000,30.000,187.7584,0.0000,0.0000,0.0000,0.0000,187.7584,279.180274,14.500279,-157.758,-113.075389,0.000,0.000,0.000,0.000,20.00000000,90.840706,32000.000000,1.0000,15.7892,18.7995,1.000000e-30
15 May 2024 16:54:33.000,30.000,0.0000,30.000,187.7459,0.0000,0.0000,0.0000,0.0000,187.7459,279.176352,14.500279,-157.746,-113.062899,0.000,0.000,0.000,0.000,20.00000000,90.853196,32000.000000,1.0000,15.8017,18.8120,1.000000e-30
15 May 2024 16:54:34.000,30.000,0.0000,30.000,187.7334,0.0000,0.0000,0.0000,0.0000,187.7334,279.172184,14.500279,-157.733,-113.050391,0.000,0.000,0.000,0.000,20.00000000,90.865704,32000.000000,1.0000,15.8142,18.8245,1.000000e-30
15 May 2024 16:54:35.000,30.000,0.0000,30.000,187.7209,0.0000,0.0000,0.0000,0.0000,187.7209,279.167769,14.500279,-157.721,-113.037865,0.000,0.000,0.000,0.000,20.00000000,90.878229,32000.000000,1.0000,15.8267,18.8370,1.000000e-30
15 May 2024 16:54:36.000,30.000,0.0000,30.000,187.7084,0.0000,0.0000,0.0000,0.0000,187.7084,279.163106,14.500279,-157.708,-113.025322,0.000,0.000,0.000,0.000,20.00000000,90.890773,32000.000000,1.0000,15.8393,18.8496,1.000000e-30
