"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
15 May 2024 15:13:15.802,30.000,0.0000,30.000,188.2839,0.0000,0.0000,0.0000,0.0000,188.2839,261.115685,14.500261,-158.284,-113.600862,0.000,0.000,0.000,0.000,20.00000000,90.315232,32000.000000,1.0000,15.2637,18.2740,1.000000e-30
15 May 2024 15:13:16.000,30.000,0.0000,30.000,188.2817,0.0000,0.0000,0.0000,0.0000,188.2817,261.108675,14.500261,-158.282,-113.598689,0.000,0.000,0.000,0.000,20.00000000,90.317405,32000.000000,1.0000,15.2659,18.2762,1.000000e-30
15 May 2024 15:13:17.000,30.000,0.0000,30.000,188.2707,0.0000,0.0000,0.0000,0.0000,188.2707,261.073007,14.500261,-158.271,-113.587690,0.000,0.000,0.000,0.000,20.00000000,90.328404,32000.000000,1.0000,15.2769,18.2872,1.000000e-30
15 May 2024 15:13:18.000,30.000,0.0000,30.000,188.2597,0.0000,0.0000,0.0000,0.0000,188.2597,261.036988,14.500261,-158.260,-113.576679,0.000,0.000,0.000,0.000,20.00000000,90.339415,32000.000000,1.0000,15.2879,18.2982,1.000000e-30
15 May 2024 15:13:19.000,30.000,0.0000,30.000,188.2487,0.0000,0.0000,0.0000,0.0000,188.2487,261.000618,14.500261,-158.249,-113.565655,0.000,0.000,0.000,0.000,20.00000000,90.350439,32000.000000,1.0000,15.2989,18.3092,1.000000e-30
15 May 2024 15:13:20.000,30.000,0.0000,30.000,188.2377,0.0000,0.0000,0.0000,0.0000,188.2377,260.963894,14.500261,-158.238,-113.554619,0.000,0.000,0.000,0.000,20.00000000,90.361475,32000.000000,1.0000,15.3100,18.3203,1.000000e-30
15 May 2024 15:13:21.000,30.000,0.0000,30.000,188.2266,0.0000,0.0000,0.0000,0.0000,188.2266,260.926815,14.500261,-158.227,-113.543571,0.000,0.000,0.000,0.000,20.00000000,90.372524,32000.000000,1.0000,15.3210,18.3313,1.000000e-30
15 May 2024 15:13:22.000,30.000,0.0000,30.000,188.2156,0.0000,0.0000,0.0000,0.0000,188.2156,260.889380,14.500261,-158.216,-113.532510,0.000,0.000,0.000,0.000,20.00000000,90.383585,32000.000000,1.0000,15.3321,18.3424,1.000000e-30
15 May 2024 15:13:23.000,30.000,0.0000,30.000,188.2045,0.0000,0.0000,0.0000,0.0000,188.2045,260.851587,14.500261,-158.204,-113.521436,0.000,0.000,0.000,0.000,20.00000000,90.394658,32000.000000,1.0000,15.3432,18.3535,1.000000e-30
15 May 2024 15:13:24.000,30.000,0.0000,30.000,188.1934,0.0000,0.0000,0.0000,0.0000,188.1934,260.813435,14.500261,-158.193,-113.510350,0.000,0.000,0.000,0.000,20.00000000,90.405744,32000.000000,1.0000,15.3542,18.3645,1.000000e-30
15 May 2024 15:13:25.000,30.000,0.0000,30.000,188.1823,0.0000,0.0000,0.0000,0.0000,188.1823,260.774921,14.500261,-158.182,-113.499251,0.000,0.000,0.000,0.000,20.00000000,90.416843,32000.000000,1.0000,15.3653,18.3756,1.000000e-30
15 May 2024 15:13:26.000,30.000,0.0000,30.000,188.1712,0.0000,0.0000,0.0000,0.0000,188.1712,260.736046,14.500261,-158.171,-113.488140,0.000,0.000,0.000,0.000,20.00000000,90.427954,32000.000000,1.0000,15.3765,18.3868,1.000000e-30
15 May 2024 15:13:27.000,30.000,0.0000,30.000,188.1601,0.0000,0.0000,0.0000,0.0000,188.1601,260.696807,14.500261,-158.160,-113.477016,0.000,0.000,0.000,0.000,20.00000000,90.439078,32000.000000,1.0000,15.3876,18.3979,1.000000e-30
15 May 2024 15:13:28.000,30.000,0.0000,30.000,188.1489,0.0000,0.0000,0.0000,0.0000,188.1489,260.657202,14.500261,-158.149,-113.465880,0.000,0.000,0.000,0.000,20.00000000,90.450214,32000.000000,1.0000,15.3987,18.4090,1.000000e-30
15 May 2024 15:13:29.000,30.000,0.0000,30.000,188.1378,0.0000,0.0000,0.0000,0.0000,188.1378,260.617230,14.500261,-158.138,-113.454731,0.000,0.000,0.000,0.000,20.00000000,90.461363,32000.000000,1.0000,15.4099,18.4202,1.000000e-30
15 May 2024 15:13:30.000,30.000,0.0000,30.000,188.1266,0.0000,0.0000,0.0000,0.0000,188.1266,260.576889,14.500261,-158.127,-113.443569,0.000,0.000,0.000,0.000,20.00000000,90.472525,32000.000000,1.0000,15.4210,18.4313,1.000000e-30
15 May 2024 15:13:31.000,30.000,0.0000,30.000,188.1154,0.0000,0.0000,0.0000,0.0000,188.1154,260.536179,14.500261,-158.115,-113.432395,0.000,0.000,0.000,0.000,20.00000000,90.483699,32000.000000,1.0000,15.4322,18.4425,1.000000e-30
15 May 2024 15:13:32.000,30.000,0.0000,30.000,188.1043,0.0000,0.0000,0.0000,0.0000,188.1043,260.495096,14.500260,-158.104,-113.421208,0.000,0.000,0.000,0.000,20.00000000,90.494886,32000.000000,1.0000,15.4434,18.4537,1.000000e-30
15 May 2024 15:13:33.000,30.000,0.0000,30.000,188.0931,0.0000,0.0000,0.0000,0.0000,188.0931,260.453641,14.500260,-158.093,-113.410009,0.000,0.000,0.000,0.000,20.00000000,90.506086,32000.000000,1.0000,15.4546,18.4649,1.000000e-30
15 May 2024 15:13:34.000,30.000,0.0000,30.000,188.0818,0.0000,0.0000,0.0000,0.0000,188.0818,260.411810,14.500260,-158.082,-113.398796,0.000,0.000,0.000,0.000,20.00000000,90.517298,32000.000000,1.0000,15.4658,18.4761,1.000000e-30
15 May 2024 15:13:35.000,30.000,0.0000,30.000,188.0706,0.0000,0.0000,0.0000,0.0000,188.0706,260.369603,14.500260,-158.071,-113.387572,0.000,0.000,0.000,0.000,20.00000000,90.528523,32000.000000,1.0000,15.4770,18.4873,1.000000e-30
15 May 2024 15:13:36.000,30.000,0.0000,30.000,188.0594,0.0000,0.0000,0.0000,0.0000,188.0594,260.327017,14.500260,-158.059,-113.376334,0.000,0.000,0.000,0.000,20.00000000,90.539760,32000.000000,1.0000,15.4883,18.4986,1.000000e-30
15 May 2024 15:13:37.000,30.000,0.0000,30.000,188.0481,0.0000,0.0000,0.0000,0.0000,188.0481,260.284052,14.500260,-158.048,-113.365084,0.000,0.000,0.000,0.000,20.00000000,90.551010,32000.000000,1.0000,15.4995,18.5098,1.000000e-30
15 May 2024 15:13:38.000,30.000,0.0000,30.000,188.0369,0.0000,0.0000,0.0000,0.0000,188.0369,260.240706,14.500260,-158.037,-113.353821,0.000,0.000,0.000,0.000,20.00000000,90.562273,32000.000000,1.0000,15.5108,18.5211,1.000000e-30
15 May 2024 15:13:39.000,30.000,0.0000,30.000,188.0256,0.0000,0.0000,0.0000,0.0000,188.0256,260.196976,14.500260,-158.026,-113.342545,0.000,0.000,0.000,0.000,20.00000000,90.573549,32000.000000,1.0000,15.5220,18.5323,1.000000e-30
15 May 2024 15:13:40.000,30.000,0.0000,30.000,188.0143,0.0000,0.0000,0.0000,0.0000,188.0143,260.152862,14.500260,-158.014,-113.331257,0.000,0.000,0.000,0.000,20.00000000,90.584838,32000.000000,1.0000,15.5333,18.5436,1.000000e-30
15 May 2024 15:13:41.000,30.000,0.0000,30.000,188.0030,0.0000,0.0000,0.0000,0.0000,188.0030,260.108361,14.500260,-158.003,-113.319955,0.000,0.000,0.000,0.000,20.00000000,90.596139,32000.000000,1.0000,15.5446,18.5549,1.000000e-30
15 May 2024 15:13:42.000,30.000,0.0000,30.000,187.9917,0.0000,0.0000,0.0000,0.0000,187.9917,260.063473,14.500260,-157.992,-113.308641,0.000,0.000,0.000,0.000,20.00000000,90.607453,32000.000000,1.0000,15.5560,18.5663,1.000000e-30
15 May 2024 15:13:43.000,30.000,0.0000,30.000,187.9804,0.0000,0.0000,0.0000,0.0000,187.9804,260.018194,14.500260,-157.980,-113.297315,0.000,0.000,0.000,0.000,20.00000000,90.618780,32000.000000,1.0000,15.5673,18.5776,1.000000e-30
15 May 2024 15:13:44.000,30.000,0.0000,30.000,187.9690,0.0000,0.0000,0.0000,0.0000,187.9690,259.972524,14.500260,-157.969,-113.285975,0.000,0.000,0.000,0.000,20.00000000,90.630119,32000.000000,1.0000,15.5786,18.5889,1.000000e-30
15 May 2024 15:13:45.000,30.000,0.0000,30.000,187.9577,0.0000,0.0000,0.0000,0.0000,187.9577,259.926461,14.500260,-157.958,-113.274623,0.000,0.000,0.000,0.000,20.00000000,90.641472,32000.000000,1.0000,15.5900,18.6003,1.000000e-30
15 May 2024 15:13:46.000,30.000,0.0000,30.000,187.9463,0.0000,0.0000,0.0000,0.0000,187.9463,259.880003,14.500260,-157.946,-113.263257,0.000,0.000,0.000,0.000,20.00000000,90.652837,32000.000000,1.0000,15.6013,18.6116,1.000000e-30
15 May 2024 15:13:47.000,30.000,0.0000,30.000,187.9349,0.0000,0.0000,0.0000,0.0000,187.9349,259.833148,14.500260,-157.935,-113.251879,0.000,0.000,0.000,0.000,20.00000000,90.664215,32000.000000,1.0000,15.6127,18.6230,1.000000e-30
